Date,High,Low,Close
2022-12-01,198.92,191.8,194.7
2022-12-02,196.25,191.11,194.86
2022-12-05,191.27,180.55,182.45
2022-12-06,183.65,175.33,179.82
2022-12-07,179.38,172.22,174.04
2022-12-08,175.2,169.06,173.44
2022-12-09,182.5,173.36,179.05
2022-12-12,177.37,167.52,167.82
2022-12-13,175.05,156.91,160.95
2022-12-14,161.62,155.31,156.8
2022-12-15,160.93,153.28,157.67
2022-12-16,160.99,150.04,150.23
2022-12-19,155.25,145.82,149.87
2022-12-20,148.47,137.66,137.8
2022-12-21,141.26,135.89,137.57
2022-12-22,136.63,122.26,125.35
2022-12-23,128.62,121.02,123.15
2022-12-27,119.67,108.76,109.1
2022-12-28,116.27,108.24,112.71
2022-12-29,123.57,117.5,121.82
2022-12-30,124.48,119.75,123.18
2023-01-03,118.8,104.64,108.1
2023-01-04,114.59,107.52,113.64
2023-01-05,111.75,107.16,110.34
2023-01-06,114.39,101.81,113.06
2023-01-09,123.52,117.11,119.77
2023-01-10,122.76,114.92,118.85
2023-01-11,125.95,120.51,123.22
2023-01-12,124.13,117.0,123.56
2023-01-13,122.63,115.6,122.4
2023-01-17,131.7,125.02,131.49
2023-01-18,136.68,127.01,128.78
2023-01-19,129.99,124.31,127.17
2023-01-20,133.51,127.35,133.42
2023-01-23,145.38,134.27,143.75
2023-01-24,146.5,141.1,143.89
2023-01-25,146.41,138.07,144.43
2023-01-26,161.42,154.76,160.27
2023-01-27,180.68,161.17,177.9
2023-01-30,179.77,166.5,166.66
2023-01-31,174.3,162.78,173.22
2023-02-01,183.81,169.93,181.41
2023-02-02,196.75,182.61,188.27
2023-02-03,199.0,183.69,189.98
2023-02-06,198.17,189.92,194.76
2023-02-07,197.5,189.55,196.81
2023-02-08,203.0,194.31,201.29
2023-02-09,214.0,204.77,207.32
2023-02-10,206.2,192.89,196.89
2023-02-13,196.3,187.61,194.64
2023-02-14,209.82,189.44,209.25
2023-02-15,214.66,206.11,214.24
2023-02-16,217.65,201.84,202.04
2023-02-17,208.44,197.5,208.31
2023-02-21,209.71,197.22,197.37
2023-02-22,201.99,191.78,200.86
2023-02-23,205.14,196.33,202.07
2023-02-24,197.67,192.8,196.88
2023-02-27,209.42,201.26,207.63
2023-02-28,211.23,203.75,205.71
2023-03-01,207.2,198.52,202.77
2023-03-02,193.75,186.01,190.9
2023-03-03,200.48,192.88,197.79
2023-03-06,198.6,192.3,193.81
2023-03-07,194.2,186.1,187.71
2023-03-08,186.5,180.0,182.0
2023-03-09,185.18,172.51,172.92
2023-03-10,178.29,168.44,173.44
2023-03-13,177.35,163.91,174.48
2023-03-14,183.8,177.14,183.26
2023-03-15,182.34,176.03,180.45
2023-03-16,185.81,178.84,184.13
2023-03-17,186.22,177.33,180.13
2023-03-20,186.44,176.35,183.25
2023-03-21,198.0,188.04,197.58
2023-03-22,200.66,190.95,191.15
2023-03-23,199.31,188.65,192.22
2023-03-24,192.36,187.15,190.41
2023-03-27,197.39,189.94,191.81
2023-03-28,192.35,185.43,189.19
2023-03-29,195.29,189.44,193.88
2023-03-30,197.33,194.42,195.28
2023-03-31,207.79,197.2,207.46
2023-04-03,202.69,192.2,194.77
2023-04-04,198.74,190.32,192.58
2023-04-05,190.68,183.76,185.52
2023-04-06,186.39,179.74,185.06
2023-04-10,185.1,176.11,184.51
2023-04-11,189.19,185.65,186.79
2023-04-12,191.58,180.31,180.54
2023-04-13,186.5,180.94,185.9
2023-04-14,186.28,182.01,185.0
2023-04-17,189.69,182.69,187.04
2023-04-18,187.69,183.58,184.31
2023-04-19,183.5,177.65,180.59
2023-04-20,169.7,160.56,162.99
2023-04-21,166.0,161.32,165.08
2023-04-24,165.65,158.61,162.55
2023-04-25,163.47,158.75,160.67
2023-04-26,160.67,153.14,153.75
2023-04-27,160.48,152.37,160.19
2023-04-28,165.0,157.32,164.31
2023-05-01,163.28,158.83,161.83
2023-05-02,165.49,158.93,160.31
2023-05-03,165.0,159.91,160.61
2023-05-04,162.95,159.65,161.2
2023-05-05,170.79,163.51,170.06
2023-05-08,173.8,169.19,171.79
2023-05-09,169.82,166.56,169.15
2023-05-10,174.43,166.68,168.54
2023-05-11,173.57,166.79,172.08
2023-05-12,177.38,167.23,167.98
2023-05-15,169.76,164.55,166.35
2023-05-16,169.52,164.35,166.52
2023-05-17,174.5,167.19,173.86
2023-05-18,177.06,172.45,176.89
2023-05-19,181.95,176.31,180.14
2023-05-22,189.32,180.11,188.87
2023-05-23,192.96,185.26,185.77
2023-05-24,184.22,178.22,182.9
2023-05-25,186.78,180.58,184.47
2023-05-26,198.6,184.53,193.17
2023-05-30,204.48,197.53,201.16
2023-05-31,203.95,195.12,203.93
2023-06-01,209.8,199.37,207.52
2023-06-02,217.25,209.75,213.97
2023-06-05,221.29,214.52,217.61
2023-06-06,221.91,212.53,221.31
2023-06-07,230.83,223.2,224.57
2023-06-08,235.23,223.01,234.86
2023-06-09,252.42,242.02,244.4
2023-06-12,250.97,244.59,249.83
2023-06-13,259.68,251.34,258.71
